w,re,im
0.001,0,0.001
0.0010233323,0,0.0010233323
0.0010472091,0,0.0010472091
0.0010716429,0,0.0010716429
0.0010966468,0,0.0010966468
0.0011222341,0,0.0011222341
0.0011484185,0,0.0011484185
0.0011752137,0,0.0011752137
0.0012026342,0,0.0012026342
0.0012306945,0,0.0012306945
0.0012594094,0,0.0012594094
0.0012887944,0,0.0012887944
0.001318865,0,0.001318865
0.0013496372,0,0.0013496372
0.0013811273,0,0.0013811273
0.0014133523,0,0.0014133523
0.0014463291,0,0.0014463291
0.0014800753,0,0.0014800753
0.0015146089,0,0.0015146089
0.0015499482,0,0.0015499482
0.0015861121,0,0.0015861121
0.0016231198,0,0.0016231198
0.001660991,0,0.001660991
0.0016997458,0,0.0016997458
0.0017394048,0,0.0017394048
0.0017799892,0,0.0017799892
0.0018215205,0,0.0018215205
0.0018640208,0,0.0018640208
0.0019075127,0,0.0019075127
0.0019520194,0,0.0019520194
0.0019975646,0,0.0019975646
0.0020441724,0,0.0020441724
0.0020918677,0,0.0020918677
0.0021406759,0,0.0021406759
0.0021906228,0,0.0021906228
0.0022417352,0,0.0022417352
0.0022940401,0,0.0022940401
0.0023475654,0,0.0023475654
0.0024023395,0,0.0024023395
0.0024583917,0,0.0024583917
0.0025157517,0,0.0025157517
0.0025744501,0,0.0025744501
0.002634518,0,0.002634518
0.0026959874,0,0.0026959874
0.0027588911,0,0.0027588911
0.0028232625,0,0.0028232625
0.0028891357,0,0.0028891357
0.002956546,0,0.002956546
0.0030255291,0,0.0030255291
0.0030961217,0,0.0030961217
0.0031683615,0,0.0031683615
0.0032422867,0,0.0032422867
0.0033179368,0,0.0033179368
0.003395352,0,0.003395352
0.0034745735,0,0.0034745735
0.0035556434,0,0.0035556434
0.0036386048,0,0.0036386048
0.003723502,0,0.003723502
0.0038103799,0,0.0038103799
0.003899285,0,0.003899285
0.0039902644,0,0.0039902644
0.0040833665,0,0.0040833665
0.004178641,0,0.004178641
0.0042761384,0,0.0042761384
0.0043759107,0,0.0043759107
0.0044780109,0,0.0044780109
0.0045824933,0,0.0045824933
0.0046894135,0,0.0046894135
0.0047988285,0,0.0047988285
0.0049107963,0,0.0049107963
0.0050253766,0,0.0050253766
0.0051426304,0,0.0051426304
0.0052626199,0,0.0052626199
0.0053854091,0,0.0053854091
0.0055110632,0,0.0055110632
0.0056396492,0,0.0056396492
0.0057712353,0,0.0057712353
0.0059058917,0,0.0059058917
0.0060436899,0,0.0060436899
0.0061847032,0,0.0061847032
0.0063290068,0,0.0063290068
0.0064766772,0,0.0064766772
0.0066277932,0,0.0066277932
0.006782435,0,0.006782435
0.006940685,0,0.006940685
0.0071026274,0,0.0071026274
0.0072683482,0,0.0072683482
0.0074379357,0,0.0074379357
0.0076114801,0,0.0076114801
0.0077890736,0,0.0077890736
0.0079708109,0,0.0079708109
0.0081567884,0,0.0081567884
0.0083471053,0,0.0083471053
0.0085418627,0,0.0085418627
0.0087411643,0,0.0087411643
0.008945116,0,0.008945116
0.0091538264,0,0.0091538264
0.0093674065,0,0.0093674065
0.0095859699,0,0.0095859699
0.0098096329,0,0.0098096329
0.010038514,0,0.010038514
0.010272736,0,0.010272736
0.010512423,0,0.010512423
0.010757703,0,0.010757703
0.011008705,0,0.011008705
0.011265564,0,0.011265564
0.011528415,0,0.011528415
0.0117974,0,0.0117974
0.012072661,0,0.012072661
0.012354344,0,0.012354344
0.0126426,0,0.0126426
0.012937581,0,0.012937581
0.013239445,0,0.013239445
0.013548352,0,0.013548352
0.013864467,0,0.013864467
0.014187957,0,0.014187957
0.014518995,0,0.014518995
0.014857757,0,0.014857757
0.015204423,0,0.015204423
0.015559178,0,0.015559178
0.01592221,0,0.01592221
0.016293712,0,0.016293712
0.016673882,0,0.016673882
0.017062923,0,0.017062923
0.01746104,0,0.01746104
0.017868447,0,0.017868447
0.01828536,0,0.01828536
0.018712,0,0.018712
0.019148594,0,0.019148594
0.019595375,0,0.019595375
0.020052581,0,0.020052581
0.020520455,0,0.020520455
0.020999245,0,0.020999245
0.021489206,0,0.021489206
0.021990599,0,0.021990599
0.022503691,0,0.022503691
0.023028755,0,0.023028755
0.023566069,0,0.023566069
0.02411592,0,0.02411592
0.024678601,0,0.024678601
0.02525441,0,0.02525441
0.025843654,0,0.025843654
0.026446647,0,0.026446647
0.027063709,0,0.027063709
0.027695168,0,0.027695168
0.028341361,0,0.028341361
0.029002631,0,0.029002631
0.02967933,0,0.02967933
0.030371818,0,0.030371818
0.031080463,0,0.031080463
0.031805643,0,0.031805643
0.032547742,0,0.032547742
0.033307157,0,0.033307157
0.03408429,0,0.03408429
0.034879556,0,0.034879556
0.035693378,0,0.035693378
0.036526187,0,0.036526187
0.037378428,0,0.037378428
0.038250554,0,0.038250554
0.039143029,0,0.039143029
0.040056327,0,0.040056327
0.040990934,0,0.040990934
0.041947348,0,0.041947348
0.042926077,0,0.042926077
0.043927643,0,0.043927643
0.044952577,0,0.044952577
0.046001425,0,0.046001425
0.047074745,0,0.047074745
0.048173109,0,0.048173109
0.0492971,0,0.0492971
0.050447316,0,0.050447316
0.051624369,0,0.051624369
0.052828886,0,0.052828886
0.054061507,0,0.054061507
0.055322888,0,0.055322888
0.0566137,0,0.0566137
0.057934629,0,0.057934629
0.059286379,0,0.059286379
0.060669668,0,0.060669668
0.062085233,0,0.062085233
0.063533826,0,0.063533826
0.065016218,0,0.065016218
0.066533198,0,0.066533198
0.068085572,0,0.068085572
0.069674167,0,0.069674167
0.071299828,0,0.071299828
0.072963419,0,0.072963419
0.074665825,0,0.074665825
0.076407953,0,0.076407953
0.078190728,0,0.078190728
0.0800151,0,0.0800151
0.081882039,0,0.081882039
0.083792537,0,0.083792537
0.085747613,0,0.085747613
0.087748304,0,0.087748304
0.089795676,0,0.089795676
0.091890819,0,0.091890819
0.094034845,0,0.094034845
0.096228897,0,0.096228897
0.098474142,0,0.098474142
0.10077177,0,0.10077177
0.10312301,0,0.10312301
0.10552911,0,0.10552911
0.10799135,0,0.10799135
0.11051104,0,0.11051104
0.11308952,0,0.11308952
0.11572816,0,0.11572816
0.11842837,0,0.11842837
0.12119158,0,0.12119158
0.12401926,0,0.12401926
0.12691292,0,0.12691292
0.1298741,0,0.1298741
0.13290436,0,0.13290436
0.13600533,0,0.13600533
0.13917865,0,0.13917865
0.14242601,0,0.14242601
0.14574914,0,0.14574914
0.14914981,0,0.14914981
0.15262982,0,0.15262982
0.15619103,0,0.15619103
0.15983533,0,0.15983533
0.16356466,0,0.16356466
0.16738101,0,0.16738101
0.1712864,0,0.1712864
0.17528291,0,0.17528291
0.17937266,0,0.17937266
0.18355785,0,0.18355785
0.18784068,0,0.18784068
0.19222344,0,0.19222344
0.19670846,0,0.19670846
0.20129813,0,0.20129813
0.20599488,0,0.20599488
0.21080122,0,0.21080122
0.2157197,0,0.2157197
0.22075295,0,0.22075295
0.22590363,0,0.22590363
0.23117449,0,0.23117449
0.23656832,0,0.23656832
0.24208801,0,0.24208801
0.24773649,0,0.24773649
0.25351676,0,0.25351676
0.2594319,0,0.2594319
0.26548505,0,0.26548505
0.27167943,0,0.27167943
0.27801835,0,0.27801835
0.28450516,0,0.28450516
0.29114333,0,0.29114333
0.29793638,0,0.29793638
0.30488793,0,0.30488793
0.31200168,0,0.31200168
0.3192814,0,0.3192814
0.32673098,0,0.32673098
0.33435438,0,0.33435438
0.34215564,0,0.34215564
0.35013893,0,0.35013893
0.35830849,0,0.35830849
0.36666866,0,0.36666866
0.37522389,0,0.37522389
0.38397874,0,0.38397874
0.39293786,0,0.39293786
0.40210601,0,0.40210601
0.41148808,0,0.41148808
0.42108906,0,0.42108906
0.43091405,0,0.43091405
0.44096827,0,0.44096827
0.45125709,0,0.45125709
0.46178597,0,0.46178597
0.47256051,0,0.47256051
0.48358645,0,0.48358645
0.49486965,0,0.49486965
0.50641611,0,0.50641611
0.51823198,0,0.51823198
0.53032354,0,0.53032354
0.54269722,0,0.54269722
0.55535961,0,0.55535961
0.56831744,0,0.56831744
0.58157761,0,0.58157761
0.59514717,0,0.59514717
0.60903334,0,0.60903334
0.62324351,0,0.62324351
0.63778523,0,0.63778523
0.65266624,0,0.65266624
0.66789447,0,0.66789447
0.683478,0,0.683478
0.69942514,0,0.69942514
0.71574435,0,0.71574435
0.73244434,0,0.73244434
0.74953397,0,0.74953397
0.76702234,0,0.76702234
0.78491876,0,0.78491876
0.80323274,0,0.80323274
0.82197403,0,0.82197403
0.8411526,0,0.8411526
0.86077865,0,0.86077865
0.88086262,0,0.88086262
0.9014152,0,0.9014152
0.92244731,0,0.92244731
0.94397016,0,0.94397016
0.96599518,0,0.96599518
0.98853409,0,0.98853409
1.0115989,0,1.0115989
1.0352019,0,1.0352019
1.0593555,0,1.0593555
1.0840728,0,1.0840728
1.1093667,0,1.1093667
1.1352508,0,1.1352508
1.1617389,0,1.1617389
1.1888449,0,1.1888449
1.2165834,0,1.2165834
1.2449692,0,1.2449692
1.2740172,0,1.2740172
1.303743,0,1.303743
1.3341624,0,1.3341624
1.3652915,0,1.3652915
1.3971469,0,1.3971469
1.4297456,0,1.4297456
1.4631049,0,1.4631049
1.4972425,0,1.4972425
1.5321767,0,1.5321767
1.5679259,0,1.5679259
1.6045093,0,1.6045093
1.6419462,0,1.6419462
1.6802567,0,1.6802567
1.719461,0,1.719461
1.75958,0,1.75958
1.8006351,0,1.8006351
1.8426481,0,1.8426481
