w,re,im
0.001,0,-1000
0.0010233323,0,-977.19966
0.0010472091,0,-954.91917
0.0010716429,0,-933.14668
0.0010966468,0,-911.87062
0.0011222341,0,-891.07965
0.0011484185,0,-870.76273
0.0011752137,0,-850.90904
0.0012026342,0,-831.50802
0.0012306945,0,-812.54935
0.0012594094,0,-794.02295
0.0012887944,0,-775.91895
0.001318865,0,-758.22773
0.0013496372,0,-740.93988
0.0013811273,0,-724.0462
0.0014133523,0,-707.5377
0.0014463291,0,-691.40559
0.0014800753,0,-675.64131
0.0015146089,0,-660.23645
0.0015499482,0,-645.18284
0.0015861121,0,-630.47244
0.0016231198,0,-616.09746
0.001660991,0,-602.05022
0.0016997458,0,-588.32327
0.0017394048,0,-574.9093
0.0017799892,0,-561.80117
0.0018215205,0,-548.99191
0.0018640208,0,-536.4747
0.0019075127,0,-524.2429
0.0019520194,0,-512.28998
0.0019975646,0,-500.60959
0.0020441724,0,-489.19552
0.0020918677,0,-478.04169
0.0021406759,0,-467.14218
0.0021906228,0,-456.49118
0.0022417352,0,-446.08302
0.0022940401,0,-435.91217
0.0023475654,0,-425.97323
0.0024023395,0,-416.26089
0.0024583917,0,-406.77
0.0025157517,0,-397.4955
0.0025744501,0,-388.43247
0.002634518,0,-379.57608
0.0026959874,0,-370.92161
0.0027588911,0,-362.46447
0.0028232625,0,-354.20016
0.0028891357,0,-346.12427
0.002956546,0,-338.23252
0.0030255291,0,-330.5207
0.0030961217,0,-322.98471
0.0031683615,0,-315.62055
0.0032422867,0,-308.4243
0.0033179368,0,-301.39212
0.003395352,0,-294.52027
0.0034745735,0,-287.80511
0.0035556434,0,-281.24305
0.0036386048,0,-274.83061
0.003723502,0,-268.56438
0.0038103799,0,-262.44102
0.003899285,0,-256.45728
0.0039902644,0,-250.60996
0.0040833665,0,-244.89597
0.004178641,0,-239.31226
0.0042761384,0,-233.85585
0.0043759107,0,-228.52386
0.0044780109,0,-223.31344
0.0045824933,0,-218.22182
0.0046894135,0,-213.24628
0.0047988285,0,-208.38419
0.0049107963,0,-203.63296
0.0050253766,0,-198.99006
0.0051426304,0,-194.45302
0.0052626199,0,-190.01942
0.0053854091,0,-185.68692
0.0055110632,0,-181.45319
0.0056396492,0,-177.31599
0.0057712353,0,-173.27313
0.0059058917,0,-169.32244
0.0060436899,0,-165.46183
0.0061847032,0,-161.68925
0.0063290068,0,-158.00268
0.0064766772,0,-154.40016
0.0066277932,0,-150.87978
0.006782435,0,-147.43967
0.006940685,0,-144.078
0.0071026274,0,-140.79297
0.0072683482,0,-137.58284
0.0074379357,0,-134.44591
0.0076114801,0,-131.38049
0.0077890736,0,-128.38497
0.0079708109,0,-125.45775
0.0081567884,0,-122.59727
0.0083471053,0,-119.80201
0.0085418627,0,-117.07048
0.0087411643,0,-114.40124
0.008945116,0,-111.79285
0.0091538264,0,-109.24393
0.0093674065,0,-106.75313
0.0095859699,0,-104.31913
0.0098096329,0,-101.94061
0.010038514,0,-99.616333
0.010272736,0,-97.345046
0.010512423,0,-95.125546
0.010757703,0,-92.956651
0.011008705,0,-90.837207
0.011265564,0,-88.766088
0.011528415,0,-86.74219
0.0117974,0,-84.764438
0.012072661,0,-82.83178
0.012354344,0,-80.943187
0.0126426,0,-79.097655
0.012937581,0,-77.294201
0.013239445,0,-75.531867
0.013548352,0,-73.809714
0.013864467,0,-72.126827
0.014187957,0,-70.482311
0.014518995,0,-68.87529
