w,re,im
0.001,1,-1000
0.0010233323,1,-977.19966
0.0010472091,1,-954.91917
0.0010716429,1,-933.14668
0.0010966468,1,-911.87062
0.0011222341,1,-891.07965
0.0011484185,1,-870.76273
0.0011752137,1,-850.90904
0.0012026342,1,-831.50802
0.0012306945,1,-812.54935
0.0012594094,1,-794.02295
0.0012887944,1,-775.91895
0.001318865,1,-758.22773
0.0013496372,1,-740.93988
0.0013811273,1,-724.0462
0.0014133523,1,-707.5377
0.0014463291,1,-691.40559
0.0014800753,1,-675.64131
0.0015146089,1,-660.23645
0.0015499482,1,-645.18284
0.0015861121,1,-630.47244
0.0016231198,1,-616.09746
0.001660991,1,-602.05022
0.0016997458,1,-588.32327
0.0017394048,1,-574.9093
0.0017799892,1,-561.80117
0.0018215205,1,-548.99191
0.0018640208,1,-536.4747
0.0019075127,1,-524.2429
0.0019520194,1,-512.28998
0.0019975646,1,-500.60959
0.0020441724,1,-489.19552
0.0020918677,1,-478.04169
0.0021406759,1,-467.14218
0.0021906228,1,-456.49118
0.0022417352,1,-446.08302
0.0022940401,1,-435.91217
0.0023475654,1,-425.97323
0.0024023395,1,-416.26089
0.0024583917,1,-406.77
0.0025157517,1,-397.4955
0.0025744501,1,-388.43247
0.002634518,1,-379.57608
0.0026959874,1,-370.92161
0.0027588911,1,-362.46447
0.0028232625,1,-354.20016
0.0028891357,1,-346.12427
0.002956546,1,-338.23252
0.0030255291,1,-330.5207
0.0030961217,1,-322.98471
0.0031683615,1,-315.62055
0.0032422867,1,-308.4243
0.0033179368,1,-301.39212
0.003395352,1,-294.52027
0.0034745735,1,-287.80511
0.0035556434,1,-281.24305
0.0036386048,1,-274.83061
0.003723502,1,-268.56438
0.0038103799,1,-262.44102
0.003899285,1,-256.45728
0.0039902644,1,-250.60996
0.0040833665,1,-244.89597
0.004178641,1,-239.31226
0.0042761384,1,-233.85585
0.0043759107,1,-228.52386
0.0044780109,1,-223.31344
0.0045824933,1,-218.22182
0.0046894135,1,-213.24628
0.0047988285,1,-208.38419
0.0049107963,1,-203.63296
0.0050253766,1,-198.99006
0.0051426304,1,-194.45302
0.0052626199,1,-190.01942
0.0053854091,1,-185.68692
0.0055110632,1,-181.45319
0.0056396492,1,-177.31599
0.0057712353,1,-173.27313
0.0059058917,1,-169.32244
0.0060436899,1,-165.46183
0.0061847032,1,-161.68925
0.0063290068,1,-158.00268
0.0064766772,1,-154.40016
0.0066277932,1,-150.87978
0.006782435,1,-147.43967
0.006940685,1,-144.078
0.0071026274,1,-140.79297
0.0072683482,1,-137.58284
0.0074379357,1,-134.44591
0.0076114801,1,-131.38049
0.0077890736,1,-128.38497
0.0079708109,1,-125.45775
0.0081567884,1,-122.59727
0.0083471053,1,-119.80201
0.0085418627,1,-117.07048
