w,re,im
0.001,0.999972,-0.006999916
0.0010233323,0.99997068,-0.0071632363
0.0010472091,0.99996929,-0.0073303669
0.0010716429,0.99996784,-0.0075013968
0.0010966468,0.99996633,-0.0076764169
0.0011222341,0.99996474,-0.0078555202
0.0011484185,0.99996307,-0.008038802
0.0011752137,0.99996133,-0.0082263599
0.0012026342,0.9999595,-0.0084182934
0.0012306945,0.99995759,-0.0086147047
0.0012594094,0.99995559,-0.0088156983
0.0012887944,0.99995349,-0.009021381
0.001318865,0.9999513,-0.0092318621
0.0013496372,0.999949,-0.0094472536
0.0013811273,0.99994659,-0.0096676701
0.0014133523,0.99994407,-0.0098932287
0.0014463291,0.99994143,-0.010124049
0.0014800753,0.99993866,-0.010360255
0.0015146089,0.99993577,-0.01060197
0.0015499482,0.99993274,-0.010849325
0.0015861121,0.99992956,-0.01110245
0.0016231198,0.99992623,-0.01136148
0.001660991,0.99992275,-0.011626552
0.0016997458,0.99991911,-0.011897808
0.0017394048,0.99991529,-0.012175392
0.0017799892,0.99991129,-0.012459451
0.0018215205,0.9999071,-0.012750136
0.0018640208,0.99990271,-0.013047601
0.0019075127,0.99989812,-0.013352006
0.0019520194,0.99989331,-0.013663511
0.0019975646,0.99988828,-0.013982283
0.0020441724,0.999883,-0.01430849
0.0020918677,0.99987748,-0.014642305
0.0021406759,0.99987169,-0.014983907
0.0021906228,0.99986564,-0.015333477
0.0022417352,0.99985929,-0.0156912
0.0022940401,0.99985265,-0.016057266
0.0023475654,0.9998457,-0.016431871
0.0024023395,0.99983841,-0.016815212
0.0024583917,0.99983078,-0.017207494
0.0025157517,0.9998228,-0.017608925
0.0025744501,0.99981443,-0.018019717
0.002634518,0.99980567,-0.01844009
0.0026959874,0.9997965,-0.018870266
0.0027588911,0.99978689,-0.019310474
0.0028232625,0.99977683,-0.019760947
0.0028891357,0.9997663,-0.020221925
0.002956546,0.99975526,-0.020693651
0.0030255291,0.99974371,-0.021176377
0.0030961217,0.99973161,-0.021670359
0.0031683615,0.99971894,-0.022175859
0.0032422867,0.99970568,-0.022693144
0.0033179368,0.99969178,-0.02322249
0.003395352,0.99967723,-0.023764176
0.0034745735,0.999662,-0.024318491
0.0035556434,0.99964604,-0.024885728
0.0036386048,0.99962933,-0.025466188
0.003723502,0.99961184,-0.026060178
0.0038103799,0.99959351,-0.026668013
0.003899285,0.99957432,-0.027290015
0.0039902644,0.99955423,-0.027926514
0.0040833665,0.99953319,-0.028577847
0.004178641,0.99951115,-0.029244358
0.0042761384,0.99948808,-0.029926401
0.0043759107,0.99946392,-0.030624337
0.0044780109,0.99943861,-0.031338534
0.0045824933,0.99941211,-0.032069371
0.0046894135,0.99938436,-0.032817233
0.0047988285,0.99935531,-0.033582517
0.0049107963,0.99932488,-0.034365627
0.0050253766,0.99929301,-0.035166977
0.0051426304,0.99925964,-0.03598699
0.0052626199,0.9992247,-0.036826098
0.0053854091,0.9991881,-0.037684746
0.0055110632,0.99914978,-0.038563385
0.0056396492,0.99910965,-0.039462479
0.0057712353,0.99906763,-0.040382503
0.0059058917,0.99902363,-0.041323941
0.0060436899,0.99897755,-0.04228729
0.0061847032,0.99892929,-0.043273055
0.0063290068,0.99887876,-0.044281757
0.0064766772,0.99882584,-0.045313925
0.0066277932,0.99877043,-0.046370102
0.006782435,0.9987124,-0.047450844
0.006940685,0.99865164,-0.048556717
0.0071026274,0.99858801,-0.049688302
0.0072683482,0.99852138,-0.050846193
0.0074379357,0.9984516,-0.052030996
0.0076114801,0.99837854,-0.053243331
0.0077890736,0.99830202,-0.054483834
0.0079708109,0.9982219,-0.055753152
0.0081567884,0.998138,-0.057051949
0.0083471053,0.99805014,-0.058380903
0.0085418627,0.99795814,-0.059740708
0.0087411643,0.9978618,-0.06113207
0.008945116,0.99776092,-0.062555716
0.0091538264,0.99765528,-0.064012384
0.0093674065,0.99754466,-0.065502833
0.0095859699,0.99742883,-0.067027834
0.0098096329,0.99730753,-0.068588179
0.010038514,0.99718052,-0.070184674
0.010272736,0.99704752,-0.071818145
0.010512423,0.99690825,-0.073489436
0.010757703,0.99676242,-0.075199407
0.011008705,0.99660972,-0.076948939
0.011265564,0.99644982,-0.07873893
0.011528415,0.99628239,-0.080570299
0.0117974,0.99610706,-0.082443983
0.012072661,0.99592348,-0.084360941
0.012354344,0.99573125,-0.086322149
0.0126426,0.99552997,-0.088328607
0.012937581,0.99531921,-0.090381333
0.013239445,0.99509853,-0.092481369
0.013548352,0.99486745,-0.094629776
0.013864467,0.9946255,-0.096827638
0.014187957,0.99437215,-0.09907606
0.014518995,0.99410689,-0.10137617
0.014857757,0.99382914,-0.10372912
0.015204423,0.99353833,-0.10613609
0.015559178,0.99323383,-0.10859826
0.01592221,0.99291501,-0.11111687
0.016293712,0.9925812,-0.11369315
0.016673882,0.9922317,-0.11632838
0.017062923,0.99186576,-0.11902383
0.01746104,0.99148263,-0.12178084
0.017868447,0.9910815,-0.12460075
0.01828536,0.99066152,-0.1274849
0.018712,0.99022182,-0.1304347
0.019148594,0.98976147,-0.13345157
0.019595375,0.98927951,-0.13653693
0.020052581,0.98877493,-0.13969225
0.020520455,0.98824667,-0.14291902
0.020999245,0.98769364,-0.14621876
0.021489206,0.98711468,-0.14959299
0.021990599,0.98650858,-0.15304328
0.022503691,0.98587409,-0.15657121
0.023028755,0.98520986,-0.1601784
0.023566069,0.98451454,-0.16386647
0.02411592,0.98378667,-0.16763708
0.024678601,0.98302475,-0.1714919
0.02525441,0.9822272,-0.17543263
0.025843654,0.98139236,-0.17946098
0.026446647,0.98051851,-0.1835787
0.027063709,0.97960386,-0.18778755
0.027695168,0.97864651,-0.19208929
0.028341361,0.97764449,-0.19648571
0.029002631,0.97659576,-0.20097863
0.02967933,0.97549816,-0.20556987
0.030371818,0.97434944,-0.21026125
0.031080463,0.97314727,-0.21505461
0.031805643,0.97188918,-0.21995182
0.032547742,0.97057262,-0.22495472
0.033307157,0.96919492,-0.23006517
0.03408429,0.96775329,-0.23528504
0.034879556,0.96624482,-0.24061619
0.035693378,0.96466647,-0.24606047
0.036526187,0.96301507,-0.25161972
0.037378428,0.9612873,-0.25729579
0.038250554,0.95947972,-0.26309048
0.039143029,0.95758873,-0.26900559
0.040056327,0.95561058,-0.2750429
0.040990934,0.95354134,-0.28120415
0.041947348,0.95137694,-0.28749103
0.042926077,0.94911313,-0.29390521
0.043927643,0.94674548,-0.30044831
0.044952577,0.94426938,-0.30712188
0.046001425,0.94168002,-0.31392742
0.047074745,0.9389724,-0.32086634
0.048173109,0.93614132,-0.32793999
0.0492971,0.93318137,-0.33514963
0.050447316,0.93008691,-0.34249641
0.051624369,0.9268521,-0.34998136
0.052828886,0.92347085,-0.35760542
0.054061507,0.91993684,-0.36536937
0.055322888,0.91624351,-0.37327385
0.0566137,0.91238406,-0.38131935
0.057934629,0.90835141,-0.38950616
0.059286379,0.90413825,-0.3978344
0.060669668,0.89973698,-0.40630396
0.062085233,0.89513974,-0.41491454
0.063533826,0.89033838,-0.42366555
0.065016218,0.88532449,-0.43255615
0.066533198,0.88008936,-0.44158523
0.068085572,0.87462399,-0.45075135
0.069674167,0.86891911,-0.46005273
0.071299828,0.86296512,-0.46948724
0.072963419,0.85675216,-0.47905236
0.074665825,0.85027006,-0.48874516
0.076407953,0.84350836,-0.49856224
0.078190728,0.83645632,-0.50849974
0.0800151,0.82910291,-0.51855328
0.081882039,0.8214368,-0.52871795
0.083792537,0.81344643,-0.53898824
0.085747613,0.80511995,-0.54935801
0.087748304,0.79644527,-0.55982049
0.089795676,0.78741005,-0.57036817
0.091890819,0.77800177,-0.58099283
0.094034845,0.76820767,-0.59168542
0.096228897,0.75801485,-0.60243608
0.098474142,0.74741025,-0.61323407
0.10077177,0.7363807,-0.62406769
0.10312301,0.72491295,-0.63492428
0.10552911,0.71299371,-0.64579013
0.10799135,0.70060971,-0.65665044
0.11051104,0.68774773,-0.6674893
0.11308952,0.67439465,-0.67828956
0.11572816,0.66053755,-0.68903287
0.11842837,0.64616373,-0.69969954
0.12119158,0.63126084,-0.71026856
0.12401926,0.61581691,-0.72071751
0.12691292,0.59982047,-0.73102251
0.1298741,0.58326066,-0.7411582
0.13290436,0.56612729,-0.75109766
0.13600533,0.54841103,-0.76081242
0.13917865,0.53010346,-0.77027237
0.14242601,0.51119725,-0.77944578
0.14574914,0.4916863,-0.78829926
0.14914981,0.47156589,-0.79679771
0.15262982,0.45083283,-0.8049044
0.15619103,0.42948567,-0.81258088
0.15983533,0.40752486,-0.81978709
0.16356466,0.38495294,-0.82648132
0.16738101,0.36177478,-0.83262029
0.1712864,0.33799773,-0.83815922
0.17528291,0.31363192,-0.84305189
0.17937266,0.28869042,-0.84725079
0.18355785,0.26318951,-0.8507072
0.18784068,0.23714891,-0.85337135
0.19222344,0.21059201,-0.85519265
0.19670846,0.18354615,-0.85611982
0.20129813,0.15604279,-0.85610122
0.20599488,0.12811781,-0.85508504
0.21080122,0.099811694,-0.85301967
0.2157197,0.071169769,-0.84985401
0.22075295,0.042242379,-0.84553788
0.22590363,0.013085075,-0.84002243
0.23117449,-0.016241239,-0.83326057
0.23656832,-0.045670191,-0.82520754
0.24208801,-0.075129856,-0.81582139
0.24773649,-0.10454272,-0.80506359
0.25351676,-0.13382571,-0.79289963
0.2594319,-0.16289023,-0.77929965
0.26548505,-0.19164234,-0.76423918
0.27167943,-0.21998293,-0.74769977
0.27801835,-0.24780802,-0.72966973
0.28450516,-0.27500916,-0.71014489
0.29114333,-0.30147384,-0.68912928
0.29793638,-0.32708611,-0.66663591
0.30488793,-0.35172722,-0.6426874
0.31200168,-0.37527639,-0.61731673
0.3192814,-0.39761174,-0.59056781
0.32673098,-0.41861122,-0.56249603
0.33435438,-0.43815377,-0.53316878
0.34215564,-0.45612053,-0.50266579
0.35013893,-0.47239611,-0.47107941
0.35830849,-0.48687006,-0.43851473
0.36666866,-0.49943829,-0.40508953
0.37522389,-0.51000464,-0.37093411
0.38397874,-0.5184825,-0.33619086
0.39293786,-0.52479635,-0.30101369
0.40210601,-0.52888343,-0.26556717
0.41148808,-0.53069527,-0.23002552
0.42108906,-0.53019918,-0.19457128
0.43091405,-0.52737968,-0.15939384
0.44096827,-0.5222397,-0.12468764
0.45125709,-0.51480169,-0.090650232
0.46178597,-0.50510845,-0.057480073
0.47256051,-0.4932237,-0.025374188
